words,urlDrugName,effectiveness,sideEffects,rating
The antibiotic may have destroyed bacteria causing my sinus infection.  But it may also have been caused by a virus# so its hard to say.,biaxin,1.0,1.0,9.0
|Lamictal stabilized my serious mood swings. One minute I was clawing up the walls in pure mania# the next curled up in a fetal position on my bed contemplating suicdie. I am no longer at the whim of my moods and neither are those around me. I'm lucky that I started pharmaceuticals almost immediately after I was diagnosed a bipolar. Lamictal gives me amazing clarity to go about my day# honestly assess myself and form real relationships. Lamitcal lifted a fog# I guess you could call it. Now that I'm medicated I realize how cloudy my thought processes used to be. It's a wonderful feeling.

Interestingly# I hardly dreamt before beginning Lamictal. I would dream (I mean dream in the sense of being able to imagine pictures and scenes while asleep# not REM) maybe once every two months. Now I dream every night. I found that the closer I take it to bedtime the more frequent and more intense my dreams.|,lamictal,2.0,1.0,9.0
Initial benefits were comparable to the brand name version of this drug# Depakote.  I had been taking Depakote for several months and experienced great results.  When I went to my psychiatrist for an evaluation and re-fill# he accidently prescribed the generic version# Depakene.  When I discovered the error# I was told by this doctor that I would experience the same results as Depakote.  The positive side effects of the Depakene: balanced mood# improved concentration# improved logical cognition# mental clarity# lessened anxiety and irritability# improved sleep# increase in pleasure about activities,depakene,3.0,2.0,4.0
It controlls my mood swings. It helps me think before i act or speak. It controlls amxiety. IT FREED ME TO LIVE MY LIFE HAPPILY!!! I cared about my life more. Everything had more meaning to me. I lived a very dull life before taking prozac.,sarafem,2.0,3.0,10.0
Within one week of treatment superficial acne lesions were visibly reduced.  Sebum production which had been excessive before beginning was significantly reduced (after course of treatment level increased to a more normal level).  After one month of treatment no new acne lesions occured.  By the end of treatment no new acne developed# and old lesions had healed.,accutane,2.0,1.0,10.0
By the end of the 10-day treatment I felt better# but still had major congestion# green/yellow mucus and was coughing up mucus.  The symptoms were milder than before I started the treatment but definitely not gone.,biaxin,4.0,3.0,2.0
reduction in seizures reduction in seizures reduction in seizures didn't have lots of seizures how many times can I say the same thing I'm sorry but there's not a whole lot to say here I keep repeating the same stuff over and over again to get to fifty words.,carbamazepine,1.0,4.0,8.0
Ive been taking Tramadol for 2 weeks now. Ive been taking vicodin and percocuet for 7 months due to Cervial disk degeneration and lower back pain. I have to admit I loved taking Vicodin and percocuet. The problem is that they would knock me out. Tramadol has been awesome. It takes 90% of the pain away and I feel like I actually have energy again. From reading previous comments it sounds like I take a lower dose. Im really happy about that cause if I get use to it then I can up my dose and not feel worried about it.,ultram-er,2.0,1.0,10.0
I immediately stopped having panic attacks.  It really was miraculous# as they were becoming more and more frequent and severe.  On the combination of klonopin and prozac# I have not experienced a panic attack in 10 years. I simply feel "normal"# and am able to go through my days without any feelings of extreme nausea or dizziness# which is how my panic attacks manifested themselves.  No longer did I have to leave work early# avoid restaurants and supermarkets# or worry about getting suddenly "sick"# for no reason.,klonopin,2.0,3.0,10.0
the presumed benefits were to help with a severe depression. in the beginning there was some benefit# ie less suicidal# apathetic# morbid# depressed. but the effects were short lived and dose had to be continually increased. the biggest benefit was probably placebo - feeling like i was getting help# hopeful and trusting in the treatment and doctors.,effexor,4.0,5.0,1.0
some pain relief recieved minimized pain when touched,lyrica,3.0,4.0,3.0
Significantly diminished the symptoms and size of the cold sore.  Often# it would halt the development and the redness and swelling would disappear after a day or two# without the sore blistering/weeping/scabbing.  For my body# Valtrex has proven to be far more effective than either Famvir# or Zoviraz.   It is surprising how many people either do not treat cold sores# or are not aware of any new treatments after Zovirax.,valtrex,2.0,1.0,9.0
